iter	Logloss
0	0.6563762004
1	0.626238462
2	0.5971989301
3	0.5729282263
4	0.5529808813
5	0.5365753266
6	0.5204022059
7	0.5076640071
8	0.4957864603
9	0.4828198102
10	0.4734547591
11	0.4650472076
12	0.4569028813
13	0.4499435747
14	0.4419872431
15	0.4357820544
16	0.4310224776
17	0.4245005163
18	0.4195240432
19	0.4133401804
20	0.4086553929
21	0.4040025935
22	0.3989013259
23	0.3950132494
24	0.3911873438
25	0.3887146733
26	0.3864533117
27	0.3822938243
28	0.3794941289
29	0.3771732309
30	0.3754203696
31	0.3735140739
32	0.3722559842
33	0.3704125331
34	0.3677709368
35	0.3663915039
36	0.3648047835
37	0.3636969202
38	0.3621874725
39	0.3594875028
40	0.3567561908
41	0.3547946188
42	0.3530337114
43	0.3520314947
44	0.3508988532
45	0.3502422472
46	0.3490959911
47	0.3466945102
48	0.3454356852
49	0.3443465688
50	0.3439616067
51	0.3433030916
52	0.342436066
53	0.3412466223
54	0.3398836469
55	0.3392362321
56	0.3378564095
57	0.3371738075
58	0.3365060278
59	0.3348022248
60	0.3343500665
61	0.3326831937
62	0.3317785916
63	0.3312906085
64	0.3298539793
65	0.3294033704
66	0.3283408679
67	0.3274799244
68	0.3265321592
69	0.3259799004
70	0.3256281508
71	0.3249240958
72	0.3239757876
73	0.3236051184
74	0.322648261
75	0.3218332566
76	0.3209613016
77	0.3203879539
78	0.3191866802
79	0.3186822466
80	0.3183331505
81	0.3178482674
82	0.3171892836
83	0.3167551639
84	0.3156597676
85	0.3150047813
86	0.314551269
87	0.3142448255
88	0.3136919959
89	0.3125411299
90	0.3115855832
91	0.3109362162
92	0.3107283854
93	0.3095325047
94	0.3080439264
95	0.3072452878
96	0.3064858437
97	0.3055530333
98	0.3048942735
99	0.3041316067
