iter	Passed	Remaining
0	2	241
1	4	219
2	6	212
3	8	209
4	11	213
5	13	212
6	15	211
7	18	208
8	20	204
9	22	203
10	24	201
11	27	201
12	29	199
13	31	196
14	34	194
15	36	191
16	38	188
17	40	186
18	43	187
19	46	184
20	48	180
21	49	176
22	51	172
23	53	169
24	55	166
25	57	163
26	60	162
27	62	161
28	65	160
29	67	158
30	69	155
31	71	152
32	73	149
33	77	149
34	80	148
35	82	146
36	84	143
37	85	140
38	87	137
39	89	134
40	92	133
41	95	131
42	97	129
43	99	126
44	100	123
45	102	120
46	104	117
47	106	115
48	108	112
49	110	110
50	112	108
51	114	105
52	116	103
53	118	100
54	120	98
55	122	96
56	125	94
57	127	92
58	128	89
59	130	87
60	132	84
61	134	82
62	136	80
63	138	78
64	141	76
65	143	73
66	145	71
67	147	69
68	149	67
69	151	64
70	153	62
71	156	60
72	158	58
73	160	56
74	161	53
75	163	51
76	165	49
77	167	47
78	168	44
79	171	42
80	173	40
81	175	38
82	177	36
83	180	34
84	182	32
85	184	30
86	187	28
87	189	25
88	191	23
89	193	21
90	194	19
91	196	17
92	198	14
93	200	12
94	203	10
95	205	8
96	207	6
97	209	4
98	210	2
99	212	0
